"id","vehicle_manufacturer_id","name","created_at","updated_at","vehicle_type_id","seats","doors"
61,14,"CX-5 ","2019-01-16 12:49:27.384792","2019-01-16 12:49:27.384792",6,5,4
63,14,"6","2019-01-16 12:49:27.432511","2019-01-16 12:49:27.432511",1,5,4
64,15,"508","2019-01-16 12:49:27.461822","2019-01-16 12:49:27.461822",1,5,4
65,15,"TRAVELLER ","2019-01-16 12:49:27.485692","2019-01-16 12:49:27.485692",5,8,4
67,2,"ERTIGA","2019-01-28 02:53:35.631802","2019-01-28 02:53:35.631802",5,6,4
68,2,"X70","2019-01-28 02:53:35.657325","2019-01-28 02:53:35.657325",6,5,4
70,3,"FORTUNER","2019-01-28 02:53:35.860356","2019-01-28 02:53:35.860356",6,7,4
71,3,"C-HR","2019-01-28 02:53:35.883764","2019-01-28 02:53:35.883764",6,5,4
72,3,"HARRIER","2019-01-28 02:53:35.907053","2019-01-28 02:53:35.907053",6,5,4
73,3,"RUSH","2019-01-28 02:53:35.93053","2019-01-28 02:53:35.93053",6,5,4
74,4,"TEANA","2019-01-28 02:53:36.048044","2019-01-28 02:53:36.048044",1,5,4
75,4,"X-TRAIL","2019-01-28 02:53:36.071245","2019-01-28 02:53:36.071245",6,7,4
76,5,"CIVIC TYPE-R","2019-01-28 02:53:36.209377","2019-01-28 02:53:36.209377",1,5,4
77,6,"A4","2019-01-28 02:53:36.281949","2019-01-28 02:53:36.281949",1,5,4
78,6,"Q3","2019-01-28 02:53:36.305754","2019-01-28 02:53:36.305754",6,7,4
79,6,"Q5","2019-01-28 02:53:36.329316","2019-01-28 02:53:36.329316",6,5,4
80,6,"Q7","2019-01-28 02:53:36.359716","2019-01-28 02:53:36.359716",6,5,4
81,6,"A7","2019-01-28 02:53:36.383503","2019-01-28 02:53:36.383503",1,5,4
82,6,"A8","2019-01-28 02:53:36.406728","2019-01-28 02:53:36.406728",1,5,4
83,7,"PICANTO","2019-01-28 02:53:36.502682","2019-01-28 02:53:36.502682",4,5,4
84,7,"CERATO","2019-01-28 02:53:36.52668","2019-01-28 02:53:36.52668",1,5,4
156,16,"DB11","2019-01-28 02:53:38.602232","2019-01-28 02:53:38.602232",3,2,2
157,17,"CONTINENTAL GT","2019-01-28 02:53:38.631326","2019-01-28 02:53:38.631326",10,4,2
159,18,"488 SPIDER","2019-01-28 02:53:38.685196","2019-01-28 02:53:38.685196",3,2,2
160,18,"GTC4LUSSO","2019-01-28 02:53:38.709147","2019-01-28 02:53:38.709147",10,4,2
161,18,"812 SUPERFAST","2019-01-28 02:53:38.734127","2019-01-28 02:53:38.734127",3,2,2
162,18,"PORTOFINO","2019-01-28 02:53:38.758179","2019-01-28 02:53:38.758179",2,4,2
168,20,"AVANTADOR S","2019-01-28 02:53:38.913378","2019-01-28 02:53:38.913378",3,2,2
169,20,"AVANTADOR ROADSTER","2019-01-28 02:53:38.937242","2019-01-28 02:53:38.937242",3,2,2
170,20,"HURACAN","2019-01-28 02:53:38.960809","2019-01-28 02:53:38.960809",3,2,2
171,20,"HURACAN SPYDER","2019-01-28 02:53:38.98442","2019-01-28 02:53:38.98442",3,2,2
94,9,"640i","2019-01-28 02:53:36.871553","2019-01-28 02:53:36.871553",1,5,4
95,9,"330e","2019-01-28 02:53:36.895818","2019-01-28 02:53:36.895818",1,5,4
96,9,"318i","2019-01-28 02:53:36.920614","2019-01-28 02:53:36.920614",1,5,4
97,9,"M5","2019-01-28 02:53:36.944348","2019-01-28 02:53:36.944348",1,5,4
98,9,"530i","2019-01-28 02:53:36.968032","2019-01-28 02:53:36.968032",1,5,4
99,13,"E350e","2019-01-28 02:53:36.991445","2019-01-28 02:53:36.991445",1,5,4
92,9,"M2","2019-01-28 02:53:36.819299","2019-01-28 02:53:36.819299",3,4,4
102,9,"X4","2019-01-28 02:53:37.064093","2019-01-28 02:53:37.064093",6,5,4
101,9,"X5","2019-01-28 02:53:37.039779","2019-01-28 02:53:37.039779",6,7,4
100,9,"X6","2019-01-28 02:53:37.015973","2019-01-28 02:53:37.015973",6,5,4
103,9,"X3","2019-01-28 02:53:37.087934","2019-01-28 02:53:37.087934",6,5,4
104,9,"X2","2019-01-28 02:53:37.111783","2019-01-28 02:53:37.111783",6,5,4
105,9,"X1","2019-01-28 02:53:37.136625","2019-01-28 02:53:37.136625",6,5,4
106,10,"SANTA FE ","2019-01-28 02:53:37.188974","2019-01-28 02:53:37.188974",6,7,4
107,10,"IONIQ","2019-01-28 02:53:37.213184","2019-01-28 02:53:37.213184",4,5,4
108,10,"TUCSON","2019-01-28 02:53:37.237521","2019-01-28 02:53:37.237521",6,5,4
109,11,"ECO SPORT","2019-01-28 02:53:37.290435","2019-01-28 02:53:37.290435",6,5,4
110,11,"FOCUS","2019-01-28 02:53:37.31414","2019-01-28 02:53:37.31414",4,5,4
111,11,"EVEREST","2019-01-28 02:53:37.337956","2019-01-28 02:53:37.337956",6,7,4
91,9,"420i","2019-01-28 02:53:36.795019","2019-01-28 02:53:36.795019",3,4,2
113,11,"S-MAX","2019-01-28 02:53:37.384901","2019-01-28 02:53:37.384901",5,7,4
115,13,"GLA200","2019-01-28 02:53:37.461452","2019-01-28 02:53:37.461452",6,5,4
